optimizer_step,rows,score_mean,score_median,high_score_rate,positive_rate,zero_rate,negative_rate,score_10_rate,score_9_9_rate,score_0_rate,score_neg_0_1_rate,score_values
1,5120,2.182148430417874,0.0,0.219921875,0.219921875,0.62734375,0.152734375,0.201953125,0.01796875,0.62734375,0.152734375,"{""-0.1"": 782, ""0.0"": 3212, ""9.9"": 92, ""10.0"": 1034}"
20,4480,2.294263392512221,0.0,0.2294642857142857,0.2294642857142857,0.7676339285714285,0.0029017857142857144,0.22857142857142856,0.0008928571428571428,0.7676339285714285,0.0029017857142857144,"{""-0.1"": 13, ""0.0"": 3439, ""9.9"": 4, ""10.0"": 1024}"
40,3008,3.2546210106378024,0.0,0.3254654255319149,0.3254654255319149,0.6742021276595744,0.0003324468085106383,0.3254654255319149,0.0,0.6742021276595744,0.0003324468085106383,"{""-0.1"": 1, ""0.0"": 2028, ""10.0"": 979}"
60,4160,1.7331490384611803,0.0,0.1733173076923077,0.1733173076923077,0.8264423076923076,0.0002403846153846154,0.1733173076923077,0.0,0.8264423076923076,0.0002403846153846154,"{""-0.1"": 1, ""0.0"": 3438, ""10.0"": 721}"
80,4544,2.242473591465018,0.0,0.22425176056338028,0.22425176056338028,0.7755281690140845,0.00022007042253521127,0.22403169014084506,0.00022007042253521127,0.7755281690140845,0.00022007042253521127,"{""-0.1"": 1, ""0.0"": 3524, ""9.9"": 1, ""10.0"": 1018}"
100,3392,2.8183667452825794,0.0,0.2818396226415094,0.2818396226415094,0.7178655660377359,0.00029481132075471697,0.2818396226415094,0.0,0.7178655660377359,0.00029481132075471697,"{""-0.1"": 1, ""0.0"": 2435, ""10.0"": 956}"
120,3200,4.206218749880791,0.0,0.420625,0.420625,0.579375,0.0,0.4203125,0.0003125,0.579375,0.0,"{""0.0"": 1854, ""9.9"": 1, ""10.0"": 1345}"
140,2944,3.804313858566077,0.0,0.3804347826086957,0.3804347826086957,0.6195652173913043,0.0,0.38009510869565216,0.00033967391304347825,0.6195652173913043,0.0,"{""0.0"": 1824, ""9.9"": 1, ""10.0"": 1119}"
160,3584,1.7549944196424414,0.0,0.17550223214285715,0.17550223214285715,0.82421875,0.00027901785714285713,0.17550223214285715,0.0,0.82421875,0.00027901785714285713,"{""-0.1"": 1, ""0.0"": 2954, ""10.0"": 629}"
180,2752,4.262318313814873,0.0,0.4262354651162791,0.4262354651162791,0.5737645348837209,0.0,0.4258720930232558,0.0003633720930232558,0.5737645348837209,0.0,"{""0.0"": 1579, ""9.9"": 1, ""10.0"": 1172}"
200,2752,2.7977834299537028,0.0,0.279796511627907,0.279796511627907,0.7191133720930233,0.0010901162790697674,0.27906976744186046,0.0007267441860465116,0.7191133720930233,0.0010901162790697674,"{""-0.1"": 3, ""0.0"": 1979, ""9.9"": 2, ""10.0"": 768}"
220,2112,7.580492424242424,10.0,0.7580492424242424,0.7580492424242424,0.24195075757575757,0.0,0.7580492424242424,0.0,0.24195075757575757,0.0,"{""0.0"": 511, ""10.0"": 1601}"
240,2048,6.2646484375,10.0,0.62646484375,0.62646484375,0.37353515625,0.0,0.62646484375,0.0,0.37353515625,0.0,"{""0.0"": 765, ""10.0"": 1283}"
260,2560,4.917929687499418,0.0,0.491796875,0.491796875,0.5078125,0.000390625,0.491796875,0.0,0.5078125,0.000390625,"{""-0.1"": 1, ""0.0"": 1300, ""10.0"": 1259}"
280,2304,6.011241319278876,10.0,0.6011284722222222,0.6011284722222222,0.3988715277777778,0.0,0.6006944444444444,0.00043402777777777775,0.3988715277777778,0.0,"{""0.0"": 919, ""9.9"": 1, ""10.0"": 1384}"
300,1536,7.337109374503295,10.0,0.7337239583333334,0.7337239583333334,0.2662760416666667,0.0,0.732421875,0.0013020833333333333,0.2662760416666667,0.0,"{""0.0"": 409, ""9.9"": 2, ""10.0"": 1125}"
320,1472,8.933288043218099,10.0,0.8933423913043478,0.8933423913043478,0.10597826086956522,0.0006793478260869565,0.8926630434782609,0.0006793478260869565,0.10597826086956522,0.0006793478260869565,"{""-0.1"": 1, ""0.0"": 156, ""9.9"": 1, ""10.0"": 1314}"
340,1792,7.125948660711791,10.0,0.7126116071428571,0.7126116071428571,0.2857142857142857,0.0016741071428571428,0.7126116071428571,0.0,0.2857142857142857,0.0016741071428571428,"{""-0.1"": 3, ""0.0"": 512, ""10.0"": 1277}"
360,2560,4.90234375,0.0,0.490234375,0.490234375,0.509765625,0.0,0.490234375,0.0,0.509765625,0.0,"{""0.0"": 1305, ""10.0"": 1255}"
380,2624,4.370960365560633,0.0,0.4371189024390244,0.4371189024390244,0.5613567073170732,0.001524390243902439,0.43635670731707316,0.0007621951219512195,0.5613567073170732,0.001524390243902439,"{""-0.1"": 4, ""0.0"": 1473, ""9.9"": 2, ""10.0"": 1145}"
400,1920,7.578125,10.0,0.7578125,0.7578125,0.2421875,0.0,0.7578125,0.0,0.2421875,0.0,"{""0.0"": 465, ""10.0"": 1455}"
