optimizer_step,rows,metric,avg,median,p90,p95,max
1,5120,input,472.0384765625,436.0,644.0,728.0,1020
1,5120,output,1202.346484375,1138.0,2048.0,2048.0,2049
1,5120,turn_total,1674.3849609375,1619.0,2465.0,2530.05,2914
1,5120,action_command,4.673828125,5.0,7.0,9.0,12
20,4480,input,460.79888392857146,436.0,569.0,602.0500000000002,1097
20,4480,output,818.1948660714286,780.0,1314.0,1516.0500000000002,2048
20,4480,turn_total,1278.99375,1234.0,1786.1,1974.1000000000004,2635
20,4480,action_command,5.626339285714286,5.0,8.0,10.0,13
40,3008,input,507.81815159574467,520.0,671.0,739.3000000000002,1118
40,3008,output,760.3238031914893,730.5,1188.6000000000004,1322.0,2048
40,3008,turn_total,1268.141954787234,1224.0,1720.3000000000002,1862.65,2604
40,3008,action_command,5.587765957446808,5.0,8.0,10.0,13
60,4160,input,481.22932692307694,435.0,632.0,728.0499999999997,1020
60,4160,output,686.0228365384615,673.0,1044.0,1160.0499999999997,2043
60,4160,turn_total,1167.2521634615384,1135.0,1578.0,1716.0,2508
60,4160,action_command,5.7846153846153845,5.0,8.0,9.0,14
80,4544,input,517.849911971831,463.0,698.0,710.0,1152
80,4544,output,718.0693221830986,701.0,1077.0,1208.8499999999995,2048
80,4544,turn_total,1235.9192341549297,1208.0,1631.7000000000003,1764.0,2749
80,4544,action_command,5.714348591549296,5.0,8.0,8.0,11
100,3392,input,485.1285377358491,463.0,623.0,707.0,998
100,3392,output,677.1580188679245,663.0,1045.8000000000002,1171.4499999999998,2048
100,3392,turn_total,1162.2865566037735,1134.0,1541.8000000000002,1665.8999999999996,2625
100,3392,action_command,5.765625,5.0,8.0,9.0,11
120,3200,input,472.416875,456.0,618.0,674.0,912
120,3200,output,729.6971875,733.0,1065.1,1171.0,2048
120,3200,turn_total,1202.1140625,1184.0,1609.2999999999997,1743.0999999999995,2546
120,3200,action_command,5.96,6.0,8.0,9.0,14
140,2944,input,474.5407608695652,445.0,612.4000000000005,671.8499999999999,1017
140,2944,output,722.0186820652174,728.0,1062.7000000000003,1155.85,2048
140,2944,turn_total,1196.5594429347825,1179.0,1570.0,1689.0,2534
140,2944,action_command,6.056046195652174,5.0,9.0,10.0,12
160,3584,input,556.8152901785714,533.0,742.0,797.0,1093
160,3584,output,760.9204799107143,771.0,1166.7000000000003,1303.85,2048
160,3584,turn_total,1317.7357700892858,1311.5,1796.7000000000003,1921.85,2713
160,3584,action_command,6.126674107142857,6.0,8.0,10.0,13
180,2752,input,512.0167151162791,471.0,704.0,745.0,1034
180,2752,output,621.2761627906976,585.5,1031.9,1157.8999999999996,2048
180,2752,turn_total,1133.2928779069769,1072.5,1608.9,1758.0,2937
180,2752,action_command,6.464752906976744,6.0,10.0,10.0,14
200,2752,input,474.65043604651163,451.0,591.9000000000001,618.4499999999998,953
200,2752,output,596.7209302325581,541.5,1017.0,1183.4499999999998,2048
200,2752,turn_total,1071.3713662790697,1018.5,1510.8000000000002,1682.0,2688
200,2752,action_command,6.131540697674419,6.0,9.0,10.0,14
220,2112,input,547.6458333333334,505.5,775.0,871.7999999999993,1044
220,2112,output,554.0961174242424,530.5,893.0,1002.4499999999998,1584
220,2112,turn_total,1101.7419507575758,1079.0,1504.0,1644.4499999999998,2191
220,2112,action_command,6.390625,6.0,9.0,10.0,11
240,2048,input,494.62451171875,486.0,667.0,744.549999999999,1105
240,2048,output,487.990234375,449.5,820.0,917.6499999999999,1328
240,2048,turn_total,982.61474609375,953.0,1355.0,1463.0,2053
240,2048,action_command,6.20703125,6.0,9.0,10.0,11
260,2560,input,563.553125,535.0,783.0,821.0,1185
260,2560,output,517.55,488.5,860.0999999999999,965.0499999999997,2048
260,2560,turn_total,1081.103125,1060.0,1469.1,1602.0499999999997,2545
260,2560,action_command,5.882421875,6.0,8.0,9.0,11
280,2304,input,484.4361979166667,467.0,640.4000000000005,763.6999999999998,1070
280,2304,output,512.8953993055555,449.5,867.1000000000008,1039.0,2048
280,2304,turn_total,997.3315972222222,928.0,1425.0,1570.0,2572
280,2304,action_command,6.572482638888889,6.0,9.0,10.0,11
300,1536,input,472.90625,452.5,584.0,671.0,863
300,1536,output,552.060546875,519.5,902.5,1058.25,2048
300,1536,turn_total,1024.966796875,998.0,1382.5,1518.25,2615
300,1536,action_command,6.692708333333333,6.0,9.0,10.0,14
320,1472,input,508.9572010869565,439.0,755.0,877.0,1167
320,1472,output,547.7445652173913,498.0,943.3000000000006,1059.0,2048
320,1472,turn_total,1056.7017663043478,1012.0,1462.9,1607.3500000000001,2637
320,1472,action_command,6.680027173913044,6.0,10.0,11.0,14
340,1792,input,567.4849330357143,494.0,833.0,958.0,1293
340,1792,output,650.4079241071429,631.0,1080.9,1199.4499999999998,2048
340,1792,turn_total,1217.892857142857,1186.0,1731.7000000000003,1877.7999999999993,2606
340,1792,action_command,6.569196428571429,6.0,9.0,10.0,14
360,2560,input,574.053515625,558.0,739.0,837.0,1048
360,2560,output,655.780078125,663.0,1026.1,1117.1499999999992,1789
360,2560,turn_total,1229.83359375,1225.0,1638.1,1747.0999999999995,2264
360,2560,action_command,6.457421875,6.0,10.0,10.0,12
380,2624,input,503.6154725609756,471.0,662.0,765.0,987
380,2624,output,633.498475609756,635.0,968.0,1075.85,2048
380,2624,turn_total,1137.1139481707316,1124.0,1516.7000000000003,1636.85,2616
380,2624,action_command,6.6291920731707314,6.0,10.0,10.0,14
400,1920,input,518.2692708333333,517.0,668.0,774.0999999999999,1039
400,1920,output,638.5114583333333,617.0,1006.0,1127.05,1862
400,1920,turn_total,1156.7807291666666,1141.5,1541.1000000000001,1677.05,2655
400,1920,action_command,6.744791666666667,6.0,10.0,10.0,11
